Beauty,hair,nails,massage and spa,mobile services,cosmetic clinics,hair extension,spray tan,make-up,non surgical
Treatments and Facials,dreadlocks,,,,,,,,
Crystal Microdermabrasion,balayage,,,,,,,,
Superficial Skin Peels,kerastase,,,,,,,,
Facial,olaplex,,,,,,,,
Elos skin rejuvenation,blow wave,,,,,,,,
Laser hair removal,shu hemura,,,,,,,,
Low intensity laser therapy,all over colour,,,,,,,,
brazilioan wax,subtle balayage,,,,,,,,
man waxsing,premium balayage,,,,,,,,
threading,1/4 head foils with colour,,,,,,,,
spray tan,1/4 head of foils,,,,,,,,
facial waxing,1/2 head foils,,,,,,,,
fat freezing,3/4 head foils,,,,,,,,
3d lashes,ghd curls,,,,,,,,
eyebrow tinting,Extensions,,,,,,,,
eyebrow shaping,Colour,,,,,,,,
eyebrow extensions,Foils/highlights,,,,,,,,
eyebrow feathering,weddings/engment formal,,,,,,,,
eyelash tintin,Consultations,,,,,,,,
eyelash extensions,permenent/ceratin Straightening,,,,,,,,
eyelash lifting,Long Hair,,,,,,,,
eyelash perm,Short Hair,,,,,,,,
chemical peel,Wavy Hair,,,,,,,,
facial peel,hair up,,,,,,,,
facial conturing,styling,,,,,,,,
cellulite,beard,,,,,,,,
collagen,restyle hair cut,,,,,,,,
facial massage,wash and dry,,,,,,,,
anti aging facial,Women's Hair,,,,,,,,
piercing,Men's Hair,,,,,,,,
henna,Mobile Hair Dresser,,,,,,,,
classic eyelash extentions,Hair Loss Treatment,,,,,,,,
pamper treatment,Wigs & Hair Pieces,,,,,,,,
XXX waxing,Head Lice Removal,,,,,,,,
high performance facial,color correction,,,,,,,,
triad medical facial,straightning,,,,,,,,
,kids hair,,,,,,,,
,events,,,,,,,,
